"id","term","title","slug","mime","source_url","alt","date"
"434","786","Group 786","group-786","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/Group-786.png","","2025-11-04T07:12:54"
"970","liên hệ","lien-he","lien-he","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/lien-he.png","","2025-11-18T02:24:10"
"1119","chat","11 Quy tắc An Toàn Khi Làm Việc Với Hóa Chất","an-toan-khi-lam-viec-voi-hoa-chat-3-1","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/an-toan-khi-lam-viec-voi-hoa-chat-3-1.png","","2025-11-21T04:54:51"
"1122","chat","an-toan-khi-lam-viec-voi-hoa-chat-1","an-toan-khi-lam-viec-voi-hoa-chat-1","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/an-toan-khi-lam-viec-voi-hoa-chat-1.png","","2025-11-21T04:54:51"
"1125","chat","an-toan-khi-lam-viec-voi-hoa-chat","an-toan-khi-lam-viec-voi-hoa-chat","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/an-toan-khi-lam-viec-voi-hoa-chat.png","","2025-11-21T04:54:52"
"1174","chat","Đánh giá ISO 9001:2015 cho Nhà máy sản xuất Công ty TNHH Dược Phẩm....","dao-tao-iso-duoc-thien-an-knacert-1","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-iso-duoc-thien-an-knacert-1.png","","2025-11-21T04:55:04"
"1213","chat","CÁC CÂU HỎI THƯỜNG GẶP VỀ ISO 9001","nut-01-1","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png","","2025-11-21T04:55:11"
"1241","chat","Các câu hỏi về chứng nhận","cong-ty-co-phan-bao-bi-mai-thu","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/cong-ty-co-phan-bao-bi-mai-thu.png","","2025-11-21T04:55:20"
"1263","chat","Làm sao để tìm được công ty chứng nhận ISO tốt nhất?","dao-tao-eicc-kna-cert-2","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-eicc-kna-cert-2.jpg","","2025-11-21T04:55:27"
"1266","chat","Tại sao Doanh Nghiệp phải nâng cao Hệ Thống Quản lý Chất Lượng ?","dao-tao-eicc-kna-cert-1","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-eicc-kna-cert-1.jpg","","2025-11-21T04:55:27"
"1281","chat","Sự khác nhau giữa ISO 9000 và tiêu chuẩn TQM","tieu-chuan-sedex-knacert","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/tieu-chuan-sedex-knacert.png","","2025-11-21T04:55:32"
"1297","chat","Quy tắc an toàn lao động trong sản xuất hóa chất dễ cháy nổ","fsc-coc-cho-go-1","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/fsc-coc-cho-go-1.jpg","","2025-11-21T04:55:34"
"1326","chat","10 Lý do tại sao các tổ chức cần chứng nhận ISO 14001:2015","hieu-luc-chung-nhan2222","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/hieu-luc-chung-nhan2222.png","","2025-11-21T04:55:42"
"1403","chat","Sắp có tiêu chuẩn quốc gia về ""thịt mát""","phan-tich-swot","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/phan-tich-swot.png","","2025-11-21T04:56:04"
"1422","báo giá","2 Tiêu chuẩn FSC & PEFC: Có gì khác nhau?","thoa-thuan-hop-tac-giua-kna-va-kosher-2","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/thoa-thuan-hop-tac-giua-kna-va-kosher-2.jpg","","2025-11-21T04:56:07"
"1467","chat","7 công cụ quản lý chất lượng trong sản xuất (7QC) là gì ?","ap-dung-kaizen-vao-nha-may-loc-dau-thanh-hoa","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/ap-dung-kaizen-vao-nha-may-loc-dau-thanh-hoa.jpg","","2025-11-21T04:56:21"
"1472","chat","Tìm hiểu mô hình Lean Six Sigma – Mô hình cải tiến năng suất chất l...","tai-nguyen-rung","image/png","https://knacert.com.vn/wp-content/uploads/2025/11/tai-nguyen-rung.png","","2025-11-21T04:56:22"
"1477","chat","Tìm hiểu hệ thống quản lý chất lượng toàn diện (TQM) và lợi ích của...","yeu-cau-an-toan-trong-nganh-luyen-kim","image/jpeg","https://knacert.com.vn/wp-content/uploads/2025/11/yeu-cau-an-toan-trong-nganh-luyen-kim.jpg","","2025-11-21T04:56:24"
