"type","id","title","link","remaining_count","remaining_assets"
"posts","1197","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","0",""
"posts","13518","Nhà máy không có HACCP có được không? Các doanh nghiệp nào nên áp dụng HACCP?","https://knacert.com.vn/tin-tuc-nganh-nghe/nha-may-khong-co-haccp-co-duoc-khong-cac-doanh-nghiep-nao-nen-ap-dung-haccp/","0",""
"posts","1682","Tiêu chuẩn BRC là gì ? Hệ thống An toàn thực phẩm Quốc tế","https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/","0",""
"posts","2877","Câu hỏi cần biết về tiêu chuẩn ISO 45001","https://knacert.com.vn/phat-trien-ben-vung/cau-hoi-can-biet-ve-tieu-chuan-iso-45001/","0",""
"posts","4158","Chứng Nhận RCS - Công Nhận Quốc Tế","https://knacert.com.vn/tin-tuc-tieu-chuan/su-khac-biet-giua-chung-nhan-rcs-va-chung-nhan-grs-la-gi/","0",""
"posts","4239","FDA VÀ HƯỚNG DẪN KIỂM TRA CHỨNG NHẬN","https://knacert.com.vn/cong-cu-cai-tien/fda-va-huong-dan-kiem-tra-chung-nhan/","0",""
"posts","4276","Chứng nhận ISO 27001:2022 - Nhận báo giá mới nhất","https://knacert.com.vn/tin-tuc-tieu-chuan/11-cau-hoi-thuong-gap-ve-chung-nhan-iso-27001/","0",""
"posts","5104","Hướng dẫn triển khai áp dụng phương pháp 5S tại Doanh Nghiệp (Phần 2)","https://knacert.com.vn/cong-cu-cai-tien/huong-dan-trien-khai-ap-dung-phuong-phap-5s-tai-doanh-nghiep-phan-2/","0",""
"posts","6967","Lợi ích của ISO 22000","https://knacert.com.vn/tin-tuc-tieu-chuan/loi-ich-cua-iso-22000/","0",""
"posts","6990","Giấy chứng nhận WRAP - Công Nhận Quốc Tế","https://knacert.com.vn/tin-tuc-tieu-chuan/wrap-certificate-giay-chung-nhan-wrap-la-gi/","0",""
"posts","7179","Dịch vụ Chứng nhận hợp chuẩn vật liệu xây dựng","https://knacert.com.vn/tin-tuc-tieu-chuan/dich-vu-chung-nhan-hop-chuan-vat-lieu-xay-dung/","0",""
"posts","7416","DỊCH VỤ CHỨNG NHẬN ISO 9001:2015 – CÔNG NHẬN QUỐC TẾ","https://knacert.com.vn/tin-tuc-tieu-chuan/dich-vu-chung-nhan-iso-90012015-cong-nhan-quoc-te/","0",""
"posts","7692","[IOP Certificate] Giấy chứng nhận BRC IOP là gì?","https://knacert.com.vn/tin-tuc-tieu-chuan/iop-certificate-giay-chung-nhan-brc-iop-la-gi/","0",""
"posts","8504","Chứng chỉ RDS là gì? – KNA CERT","https://knacert.com.vn/cong-cu-cai-tien/chung-chi-rds-la-gi-kna-cert/","0",""
"posts","8623","Đánh giá ISO 9001 theo quy trình chuẩn tại KNA CERT","https://knacert.com.vn/cong-cu-cai-tien/danh-gia-iso-9001-theo-quy-trinh-chuan-tai-kna-cert/","0",""
"posts","8887","Chương Trình đào tạo trong tháng 5 tại KNA CERT","https://knacert.com.vn/tin-tuc-dao-tao/chuong-trinh-dao-tao-trong-thang-5-tai-kna-cert/","0",""
"posts","8960","EPA là gì? EPA TSCA là gì trong xuất nhập khẩu gỗ?","https://knacert.com.vn/cong-cu-cai-tien/epa-la-gi-epa-tsca-la-gi-trong-xuat-nhap-khau-go/","0",""
"posts","9196","Giới thiệu các Chương trình trong Quý 3/2023 tại KNA","https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-cac-chuong-trinh-trong-quy-32023-tai-kna/","0",""
